route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible
15,53808-__1509-LAMJV,5653026,Lesquin Verdun,1,,1
15,53808-__1511-LAMJV,5653036,Lesquin Verdun,1,,1
L6,52531-__L650-LAMJV,5517600,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L650-LAMJV,5517612,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L650-LAMJV,5517614,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L651-LAMJV,5517627,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L651-LAMJV,5517631,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L651-LAMJV,5517639,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517658,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517664,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517672,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517676,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517682,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L652-LAMJV,5517686,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L653-LAMJV,5517691,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L653-LAMJV,5517703,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L655-LAMJV,5517746,Villeneuve D Ascq Contrescarpe,0,,1
L6,52531-__L656-LAMJV,5517778,Villeneuve D Ascq Contrescarpe,0,,1
15,52491-__1501-D,5512811,Lesquin Verdun,1,,1
15,52491-__1501-D,5512815,Lesquin Verdun,1,,1
15,52491-__1501-D,5512819,Lesquin Verdun,1,,1
15,52491-__1501-D,5512835,Lesquin Verdun,1,,1
15,52491-__1502-D,5512849,Lesquin Verdun,1,,1
L6,52533-__L650-D,5517970,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L650-D,5517972,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L650-D,5517980,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L650-D,5517994,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L651-D,5518000,Villeneuve D Ascq Contrescarpe,0,,1
L6,52533-__L651-D,5518006,Villeneuve D Ascq Contrescarpe,0,,1
15,52490-__1501-S,5512681,Lesquin Verdun,1,,1
15,52490-__1502-S,5512723,Lesquin Verdun,1,,1
15,52490-__1503-S,5512745,Lesquin Verdun,1,,1
15,52490-__1504-S,5512787,Lesquin Verdun,1,,1
L6,52532-__L651-S,5517829,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L652-S,5517862,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L653-S,5517894,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L653-S,5517900,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L653-S,5517904,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L653-S,5517914,Villeneuve D Ascq Contrescarpe,0,,1
L6,52532-__L655-S,5517954,Villeneuve D Ascq Contrescarpe,0,,1
A1,52127-__A110-LAMJV,5491437,Bondues Bondues Ravennes,0,,1
F4,52144-__F403-LAMJV,5491790,Sainghin En Melantois Cimetiere,1,,1
A1,52432-__A114-D,5511395,Bondues Bondues Ravennes,0,,1
F16,52137-_F1631-LAMJV,5491583,Lesquin Gare,0,,1
15,52493-__1501-LAMJV,5513057,Lesquin Verdun,1,,1
15,52493-__1505-LAMJV,5513121,Lesquin Verdun,1,,1
15,52493-__1508-LAMJV,5513175,Lesquin Verdun,1,,1
L6,52534-__L650-LAMJV,5518045,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L651-LAMJV,5518084,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L651-LAMJV,5518088,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L651-LAMJV,5518094,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L651-LAMJV,5518096,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L652-LAMJV,5518126,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L652-LAMJV,5518128,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L652-LAMJV,5518130,Villeneuve D Ascq Contrescarpe,0,,1
F17,52138-_F1735-LAMJV,5491653,Carnin Mairie,0,,1
L6,52534-__L653-LAMJV,5518169,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L653-LAMJV,5518175,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L654-LAMJV,5518190,Villeneuve D Ascq Contrescarpe,0,,1
